review_id,text,sentiment,rating,product_category,verified_purchase
43,Perfecto para lo que necesitaba. Resistente y duradero.,positive,5,Toys & Games,False
44,No funciona como se anuncia. Se rompió después de una semana.,negative,2,Toys & Games,True
45,Producto regular. Cumple sin brillar.,neutral,3,Sports & Outdoors,True
46,Producto tal como se describe. El mejor de su categoría.,positive,5,Fashion,True
47,Cumple lo básico. Hay mejores opciones en el mercado.,neutral,3,Home & Kitchen,True
48,Llegó dañado y no me reembolsaron. La atención al cliente fue pésima.,negative,1,Jewelry,True
49,Horrible experiencia de compra. La atención al cliente fue pésima.,negative,1,Office Products,False
50,Es aceptable por el precio. Cumple sin brillar.,neutral,3,Sports & Outdoors,True
51,El mejor que he probado. El diseño es moderno y elegante.,positive,4,Pet Supplies,False
52,Cumple lo básico. No destaca en nada.,neutral,3,Pet Supplies,True
53,Producto tal como se describe. El diseño es moderno y elegante.,positive,4,Fashion,False
54,Es aceptable por el precio. Para uso ocasional está bien.,neutral,3,Toys & Games,True
55,Muy buena compra. El mejor de su categoría.,positive,5,Electronics,False
56,Cumple lo básico. Hay mejores opciones en el mercado.,neutral,3,Toys & Games,True
57,Nada especial pero funciona. Para uso ocasional está bien.,neutral,3,Toys & Games,True
58,Producto diferente al publicado. El envío tardó demasiado.,negative,1,Grocery,False
59,Muy satisfecho con la compra. Lo compré para un regalo y fue un éxito.,positive,4,Toys & Games,True
60,El mejor que he probado. El diseño es moderno y elegante.,positive,4,Fashion,False
61,No vale la pena. El producto llegó roto.,negative,2,Home & Kitchen,True
62,Nada especial pero funciona. Nada excepcional.,neutral,3,Electronics,False
63,Llegó dañado y no me reembolsaron. No coincide con la descripción.,negative,1,Electronics,False
64,Increíble calidad por este precio. Mi familia quedó encantada.,positive,4,Books,True
65,Mala calidad de materiales. Es una pérdida de dinero.,negative,2,Office Products,True
66,Es aceptable por el precio. Hay mejores opciones en el mercado.,neutral,3,Fashion,False
67,Cumple con todo lo prometido. Lo compré para un regalo y fue un éxito.,positive,5,Travel,True
68,Me encanta este producto. La calidad es increíble y llegó antes de lo esperado.,positive,4,Pet Supplies,True
69,Gran relación calidad-precio. El diseño es moderno y elegante.,positive,5,Books,True
70,Me encanta este producto. Mi familia quedó encantada.,positive,4,Toys & Games,True
71,No es malo ni bueno. Para uso ocasional está bien.,neutral,3,Travel,False
72,Producto defectuoso. La atención al cliente fue pésima.,negative,2,Toys & Games,True
73,Producto defectuoso. La atención al cliente fue pésima.,negative,2,Jewelry,False
74,Me encanta este producto. Lo volvería a comprar sin dudarlo.,positive,5,Grocery,True
75,Perfecto para lo que necesitaba. La calidad es increíble y llegó antes de lo esperado.,positive,4,Office Products,True
76,Una estafa total. El material es de mala calidad.,negative,1,Home & Kitchen,False
77,Se rompió a los pocos días. El envío tardó demasiado.,negative,1,Grocery,False
78,Llegó dañado y no me reembolsaron. El envío tardó demasiado.,negative,2,Grocery,True
79,El mejor que he probado. El envío fue rápido y el empaque perfecto.,positive,5,Jewelry,False
80,Perfecto para lo que necesitaba. El diseño es moderno y elegante.,positive,4,Books,False
81,El peor producto que he comprado. Tuve que devolverlo.,negative,2,Pet Supplies,True
82,Producto diferente al publicado. La atención al cliente fue pésima.,negative,1,Toys & Games,False
83,El mejor que he probado. El diseño es moderno y elegante.,positive,4,Books,True
84,Lo recomiendo ampliamente. Resistente y duradero.,positive,4,Jewelry,True
85,"Sin quejas, todo perfecto. Lo compré para un regalo y fue un éxito.",positive,4,Pet Supplies,False
86,Increíble calidad por este precio. Lo uso a diario y funciona perfecto.,positive,4,Office Products,True
87,"Excelente producto, superó mis expectativas. El mejor de su categoría.",positive,5,Books,True
88,El mejor que he probado. El mejor de su categoría.,positive,5,Grocery,False
89,Para el precio está bien. Nada excepcional.,neutral,3,Grocery,False
90,Decepción total. No coincide con la descripción.,negative,2,Pet Supplies,False
91,De los mejores productos que he comprado. El diseño es moderno y elegante.,positive,4,Grocery,False
92,El peor producto que he comprado. La atención al cliente fue pésima.,negative,2,Toys & Games,True
93,Increíble calidad por este precio. El mejor de su categoría.,positive,5,Home & Kitchen,True
94,"Sin quejas, todo perfecto. El envío fue rápido y el empaque perfecto.",positive,5,Books,True
95,Producto tal como se describe. Resistente y duradero.,positive,5,Office Products,True
96,Me encanta este producto. Lo volvería a comprar sin dudarlo.,positive,5,Electronics,False
97,Perfecto para lo que necesitaba. Lo compré para un regalo y fue un éxito.,positive,5,Office Products,True
98,Me encanta este producto. Resistente y duradero.,positive,5,Electronics,False
99,"Sin quejas, todo perfecto. El envío fue rápido y el empaque perfecto.",positive,5,Pet Supplies,True
100,Producto regular. Es lo que esperaba por ese precio.,neutral,3,Jewelry,True
101,Producto de gran calidad. Resistente y duradero.,positive,5,Fashion,True
102,Lo recomiendo ampliamente. Resistente y duradero.,positive,5,Sports & Outdoors,False
103,No lo recomiendo. El material es de mala calidad.,negative,2,Toys & Games,True
104,Gran relación calidad-precio. Muy práctico y fácil de usar.,positive,4,Travel,True
105,Mala calidad de materiales. El producto llegó roto.,negative,1,Books,True
106,Pésima calidad. No coincide con la descripción.,negative,1,Pet Supplies,True
107,El peor producto que he comprado. El envío tardó demasiado.,negative,1,Sports & Outdoors,True
108,Mala calidad de materiales. No coincide con la descripción.,negative,1,Toys & Games,True
109,Horrible experiencia de compra. El material es de mala calidad.,negative,2,Office Products,True
110,Muy satisfecho con la compra. El diseño es moderno y elegante.,positive,4,Travel,True
111,Una estafa total. Es una pérdida de dinero.,negative,1,Office Products,False
112,"Excelente producto, superó mis expectativas. Lo compré para un regalo y fue un éxito.",positive,5,Pet Supplies,True
113,El mejor que he probado. Resistente y duradero.,positive,5,Fashion,False
114,Muy buena compra. El mejor de su categoría.,positive,5,Pet Supplies,False
115,Gran relación calidad-precio. Muy práctico y fácil de usar.,positive,5,Home & Kitchen,False
116,Es aceptable por el precio. Es lo que esperaba por ese precio.,neutral,3,Jewelry,False
117,De los mejores productos que he comprado. Mi familia quedó encantada.,positive,5,Fashion,False
118,Gran relación calidad-precio. El diseño es moderno y elegante.,positive,5,Jewelry,False
119,Muy decepcionado con la compra. Se rompió después de una semana.,negative,1,Office Products,False
120,Se rompió a los pocos días. Tuve que devolverlo.,negative,1,Travel,False
121,Muy satisfecho con la compra. El diseño es moderno y elegante.,positive,4,Books,False
122,Producto diferente al publicado. No lo recomendaría a nadie.,negative,2,Sports & Outdoors,False
123,Llegó dañado y no me reembolsaron. Es una pérdida de dinero.,negative,2,Sports & Outdoors,False
124,No lo recomiendo. El envío tardó demasiado.,negative,2,Books,True
125,Muy decepcionado con la compra. Es una pérdida de dinero.,negative,2,Fashion,True
126,Perfecto para lo que necesitaba. Lo volvería a comprar sin dudarlo.,positive,5,Grocery,False
127,Es aceptable por el precio. Para uso ocasional está bien.,neutral,3,Books,False
128,"Sin quejas, todo perfecto. El mejor de su categoría.",positive,4,Fashion,False
129,Producto tal como se describe. El diseño es moderno y elegante.,positive,4,Fashion,False
130,Muy buena compra. El diseño es moderno y elegante.,positive,4,Pet Supplies,False
131,"Excelente producto, superó mis expectativas. El diseño es moderno y elegante.",positive,4,Pet Supplies,True
132,El peor producto que he comprado. La atención al cliente fue pésima.,negative,2,Jewelry,True
133,Muy satisfecho con la compra. Muy práctico y fácil de usar.,positive,5,Home & Kitchen,False
134,Mala calidad de materiales. Es una pérdida de dinero.,negative,1,Office Products,False
135,No es malo ni bueno. Nada excepcional.,neutral,3,Office Products,False
136,Horrible experiencia de compra. La atención al cliente fue pésima.,negative,1,Books,True
137,Producto de gran calidad. Muy práctico y fácil de usar.,positive,4,Fashion,True
138,Excedió todas mis expectativas. Lo volvería a comprar sin dudarlo.,positive,5,Pet Supplies,False
139,"Sin quejas, todo perfecto. El diseño es moderno y elegante.",positive,5,Pet Supplies,True
140,Mala calidad de materiales. No lo recomendaría a nadie.,negative,2,Travel,True
141,El mejor que he probado. El envío fue rápido y el empaque perfecto.,positive,4,Toys & Games,True
142,Cumple con todo lo prometido. El diseño es moderno y elegante.,positive,4,Jewelry,False
143,"Sin quejas, todo perfecto. El diseño es moderno y elegante.",positive,5,Office Products,False
144,El peor producto que he comprado. La atención al cliente fue pésima.,negative,2,Jewelry,True
145,Promedio. Nada excepcional.,neutral,3,Toys & Games,True
146,Cumple con todo lo prometido. El diseño es moderno y elegante.,positive,4,Jewelry,True
147,El peor producto que he comprado. Es una pérdida de dinero.,negative,1,Travel,False
148,Nada especial pero funciona. Nada excepcional.,neutral,3,Office Products,False
149,Para el precio está bien. Para uso ocasional está bien.,neutral,3,Office Products,False
150,De los mejores productos que he comprado. El envío fue rápido y el empaque perfecto.,positive,4,Sports & Outdoors,False
151,Producto diferente al publicado. El material es de mala calidad.,negative,2,Grocery,True
152,Perfecto para lo que necesitaba. Mi familia quedó encantada.,positive,5,Home & Kitchen,False
153,Producto regular. Cumple sin brillar.,neutral,3,Grocery,False
154,Producto tal como se describe. Mi familia quedó encantada.,positive,4,Jewelry,False
155,Pésima calidad. El envío tardó demasiado.,negative,1,Grocery,True
156,Para el precio está bien. Cumple sin brillar.,neutral,3,Pet Supplies,True
157,"Sin quejas, todo perfecto. El envío fue rápido y el empaque perfecto.",positive,4,Toys & Games,True
158,Pésima calidad. La atención al cliente fue pésima.,negative,1,Pet Supplies,True
159,El peor producto que he comprado. El envío tardó demasiado.,negative,1,Grocery,False
160,Excedió todas mis expectativas. Muy práctico y fácil de usar.,positive,5,Pet Supplies,True
161,De los mejores productos que he comprado. Lo uso a diario y funciona perfecto.,positive,4,Toys & Games,False
162,De los mejores productos que he comprado. La calidad es increíble y llegó antes de lo esperado.,positive,5,Toys & Games,False
163,No funciona para nada. No coincide con la descripción.,negative,2,Pet Supplies,False
164,Excedió todas mis expectativas. Mi familia quedó encantada.,positive,5,Books,True
165,No funciona para nada. El material es de mala calidad.,negative,1,Electronics,False
166,Llegó dañado y no me reembolsaron. No coincide con la descripción.,negative,2,Pet Supplies,True
167,De los mejores productos que he comprado. Lo uso a diario y funciona perfecto.,positive,5,Pet Supplies,True
168,Producto defectuoso. No coincide con la descripción.,negative,2,Office Products,True
169,Gran relación calidad-precio. Lo volvería a comprar sin dudarlo.,positive,5,Office Products,True
170,Funciona pero nada extraordinario. Para uso ocasional está bien.,neutral,3,Travel,False
171,Producto regular. Nada excepcional.,neutral,3,Home & Kitchen,True
172,Pésima calidad. La atención al cliente fue pésima.,negative,2,Office Products,True
173,El peor producto que he comprado. No coincide con la descripción.,negative,1,Toys & Games,True
174,Perfecto para lo que necesitaba. Mi familia quedó encantada.,positive,4,Sports & Outdoors,False
175,Muy buena compra. El envío fue rápido y el empaque perfecto.,positive,5,Fashion,True
176,Muy buena compra. Muy práctico y fácil de usar.,positive,5,Pet Supplies,True
177,Excedió todas mis expectativas. El diseño es moderno y elegante.,positive,5,Travel,True
178,Para el precio está bien. Para uso ocasional está bien.,neutral,3,Travel,True
179,Muy buena compra. El diseño es moderno y elegante.,positive,5,Travel,False
180,No funciona para nada. El envío tardó demasiado.,negative,2,Books,False
181,Cumple lo básico. Hay mejores opciones en el mercado.,neutral,3,Office Products,False
182,Producto defectuoso. El material es de mala calidad.,negative,2,Toys & Games,True
183,Decepción total. No lo recomendaría a nadie.,negative,1,Pet Supplies,False
184,Horrible experiencia de compra. No funciona como se prometía.,negative,1,Books,True
185,Producto diferente al publicado. La atención al cliente fue pésima.,negative,1,Travel,True
186,"Excelente producto, superó mis expectativas. Lo volvería a comprar sin dudarlo.",positive,5,Sports & Outdoors,True
187,Gran relación calidad-precio. Lo compré para un regalo y fue un éxito.,positive,5,Fashion,True
188,Producto tal como se describe. El mejor de su categoría.,positive,5,Toys & Games,True
189,Cumple con todo lo prometido. El diseño es moderno y elegante.,positive,5,Sports & Outdoors,True
190,Producto de gran calidad. Muy práctico y fácil de usar.,positive,4,Travel,False
191,Promedio. No destaca en nada.,neutral,3,Office Products,True
192,Excedió todas mis expectativas. Mi familia quedó encantada.,positive,4,Travel,False
193,Muy decepcionado con la compra. Se rompió después de una semana.,negative,2,Pet Supplies,True
194,Decepción total. No lo recomendaría a nadie.,negative,2,Books,True
195,Decepción total. El envío tardó demasiado.,negative,2,Travel,False
196,"Excelente producto, superó mis expectativas. El diseño es moderno y elegante.",positive,4,Pet Supplies,True
197,Me encanta este producto. Resistente y duradero.,positive,4,Sports & Outdoors,False
198,Decepción total. El material es de mala calidad.,negative,1,Travel,True
199,No lo recomiendo. El producto llegó roto.,negative,2,Sports & Outdoors,True
200,De los mejores productos que he comprado. Mi familia quedó encantada.,positive,4,Home & Kitchen,False
201,Producto defectuoso. El material es de mala calidad.,negative,2,Toys & Games,True
202,Para el precio está bien. No destaca en nada.,neutral,3,Travel,True
203,Producto defectuoso. No funciona como se prometía.,negative,1,Books,True
204,Muy decepcionado con la compra. Es una pérdida de dinero.,negative,1,Books,True
205,Una estafa total. No coincide con la descripción.,negative,1,Jewelry,True
206,Producto de gran calidad. El mejor de su categoría.,positive,4,Toys & Games,True
207,Producto de gran calidad. La calidad es increíble y llegó antes de lo esperado.,positive,4,Sports & Outdoors,True
208,No funciona como se anuncia. El envío tardó demasiado.,negative,1,Electronics,True
209,Se rompió a los pocos días. La atención al cliente fue pésima.,negative,1,Pet Supplies,False
210,El peor producto que he comprado. Es una pérdida de dinero.,negative,1,Books,True
211,El peor producto que he comprado. El producto llegó roto.,negative,2,Electronics,False
212,Producto diferente al publicado. La atención al cliente fue pésima.,negative,2,Pet Supplies,False
213,Gran relación calidad-precio. Lo volvería a comprar sin dudarlo.,positive,4,Fashion,True
214,Me encanta este producto. Lo volvería a comprar sin dudarlo.,positive,5,Grocery,False
215,Muy satisfecho con la compra. Lo uso a diario y funciona perfecto.,positive,5,Travel,True
216,Me encanta este producto. Mi familia quedó encantada.,positive,4,Pet Supplies,False
217,Gran relación calidad-precio. Lo compré para un regalo y fue un éxito.,positive,4,Sports & Outdoors,False
218,El mejor que he probado. Resistente y duradero.,positive,4,Home & Kitchen,True
219,Llegó dañado y no me reembolsaron. La atención al cliente fue pésima.,negative,1,Sports & Outdoors,True
220,Producto diferente al publicado. La atención al cliente fue pésima.,negative,2,Office Products,False
221,Funciona pero nada extraordinario. Cumple sin brillar.,neutral,3,Electronics,False
222,Muy decepcionado con la compra. No lo recomendaría a nadie.,negative,2,Grocery,True
223,Lo recomiendo ampliamente. Lo uso a diario y funciona perfecto.,positive,5,Sports & Outdoors,False
224,Muy buena compra. Muy práctico y fácil de usar.,positive,5,Office Products,True
225,Producto defectuoso. No coincide con la descripción.,negative,2,Toys & Games,False
226,Promedio. No destaca en nada.,neutral,3,Fashion,True
227,Muy decepcionado con la compra. No coincide con la descripción.,negative,2,Travel,True
228,Me encanta este producto. Lo compré para un regalo y fue un éxito.,positive,4,Pet Supplies,False
229,"Sin quejas, todo perfecto. Mi familia quedó encantada.",positive,5,Jewelry,True
230,Nada especial pero funciona. Hay mejores opciones en el mercado.,neutral,3,Jewelry,True
231,El peor producto que he comprado. El material es de mala calidad.,negative,2,Pet Supplies,False
232,Cumple con todo lo prometido. El mejor de su categoría.,positive,4,Home & Kitchen,False
233,El mejor que he probado. Lo volvería a comprar sin dudarlo.,positive,5,Pet Supplies,False
234,Muy buena compra. La calidad es increíble y llegó antes de lo esperado.,positive,5,Electronics,True
235,Cumple con todo lo prometido. El envío fue rápido y el empaque perfecto.,positive,4,Toys & Games,False
236,Excedió todas mis expectativas. Lo compré para un regalo y fue un éxito.,positive,4,Fashion,True
237,Producto tal como se describe. El mejor de su categoría.,positive,4,Travel,False
238,Me encanta este producto. La calidad es increíble y llegó antes de lo esperado.,positive,4,Pet Supplies,True
239,Funciona pero nada extraordinario. Nada excepcional.,neutral,3,Office Products,False
240,"Excelente producto, superó mis expectativas. Mi familia quedó encantada.",positive,5,Fashion,False
241,Muy decepcionado con la compra. El material es de mala calidad.,negative,2,Home & Kitchen,True
242,Producto tal como se describe. Lo uso a diario y funciona perfecto.,positive,5,Office Products,False
243,Una estafa total. No coincide con la descripción.,negative,1,Home & Kitchen,True
244,Decepción total. No funciona como se prometía.,negative,1,Sports & Outdoors,True
245,Perfecto para lo que necesitaba. Muy práctico y fácil de usar.,positive,4,Fashion,True
246,No funciona como se anuncia. Tuve que devolverlo.,negative,1,Pet Supplies,False
247,No funciona para nada. No funciona como se prometía.,negative,2,Fashion,False
248,El mejor que he probado. El diseño es moderno y elegante.,positive,5,Toys & Games,True
249,Perfecto para lo que necesitaba. Resistente y duradero.,positive,4,Pet Supplies,True
250,Muy satisfecho con la compra. Lo uso a diario y funciona perfecto.,positive,5,Jewelry,False
251,Excedió todas mis expectativas. Lo volvería a comprar sin dudarlo.,positive,4,Travel,True
252,Producto tal como se describe. El envío fue rápido y el empaque perfecto.,positive,5,Electronics,False
253,"Sin quejas, todo perfecto. Lo uso a diario y funciona perfecto.",positive,5,Grocery,True
254,Excedió todas mis expectativas. El mejor de su categoría.,positive,5,Grocery,True
255,Me encanta este producto. Lo compré para un regalo y fue un éxito.,positive,5,Sports & Outdoors,True
256,Muy decepcionado con la compra. No funciona como se prometía.,negative,2,Home & Kitchen,False
257,Gran relación calidad-precio. Lo uso a diario y funciona perfecto.,positive,4,Jewelry,True
258,No es malo ni bueno. Cumple sin brillar.,neutral,3,Travel,False
259,Perfecto para lo que necesitaba. El mejor de su categoría.,positive,4,Office Products,False
260,Producto diferente al publicado. El material es de mala calidad.,negative,1,Grocery,False
261,Producto de gran calidad. Muy práctico y fácil de usar.,positive,5,Sports & Outdoors,False
262,Producto de gran calidad. Lo uso a diario y funciona perfecto.,positive,4,Toys & Games,True
263,Producto diferente al publicado. No funciona como se prometía.,negative,1,Jewelry,True
264,No funciona como se anuncia. No coincide con la descripción.,negative,1,Jewelry,True
265,Llegó dañado y no me reembolsaron. No funciona como se prometía.,negative,1,Travel,True
266,No es malo ni bueno. Cumple sin brillar.,neutral,3,Pet Supplies,True
267,Mala calidad de materiales. Tuve que devolverlo.,negative,2,Books,False
268,El peor producto que he comprado. El envío tardó demasiado.,negative,2,Office Products,False
269,Es aceptable por el precio. Nada excepcional.,neutral,3,Fashion,False
270,De los mejores productos que he comprado. Mi familia quedó encantada.,positive,5,Grocery,True
271,No lo recomiendo. La atención al cliente fue pésima.,negative,1,Fashion,False
272,De los mejores productos que he comprado. Lo compré para un regalo y fue un éxito.,positive,4,Home & Kitchen,True
273,Decepción total. El producto llegó roto.,negative,2,Office Products,True
274,Lo recomiendo ampliamente. Lo compré para un regalo y fue un éxito.,positive,5,Home & Kitchen,False
275,Increíble calidad por este precio. Lo uso a diario y funciona perfecto.,positive,5,Travel,False
276,Producto defectuoso. El envío tardó demasiado.,negative,1,Pet Supplies,True
277,El peor producto que he comprado. No lo recomendaría a nadie.,negative,2,Electronics,True
278,De los mejores productos que he comprado. El envío fue rápido y el empaque perfecto.,positive,4,Grocery,False
279,Lo recomiendo ampliamente. El diseño es moderno y elegante.,positive,5,Home & Kitchen,True
280,Muy satisfecho con la compra. Lo uso a diario y funciona perfecto.,positive,5,Pet Supplies,True
281,Se rompió a los pocos días. No coincide con la descripción.,negative,1,Toys & Games,False
282,Lo recomiendo ampliamente. Lo volvería a comprar sin dudarlo.,positive,5,Office Products,True
283,No vale la pena. No funciona como se prometía.,negative,1,Home & Kitchen,True
284,"Excelente producto, superó mis expectativas. Lo compré para un regalo y fue un éxito.",positive,5,Sports & Outdoors,False
285,Mala calidad de materiales. La atención al cliente fue pésima.,negative,2,Sports & Outdoors,True
286,Mala calidad de materiales. No lo recomendaría a nadie.,negative,1,Sports & Outdoors,True
287,De los mejores productos que he comprado. El envío fue rápido y el empaque perfecto.,positive,5,Travel,False
288,Para el precio está bien. Cumple sin brillar.,neutral,3,Fashion,True
289,"Excelente producto, superó mis expectativas. El diseño es moderno y elegante.",positive,5,Books,True
290,Una estafa total. El envío tardó demasiado.,negative,1,Grocery,False
291,Para el precio está bien. Para uso ocasional está bien.,neutral,3,Electronics,True
292,De los mejores productos que he comprado. Mi familia quedó encantada.,positive,4,Toys & Games,True
293,Decepción total. El material es de mala calidad.,negative,2,Pet Supplies,False
294,Excedió todas mis expectativas. Resistente y duradero.,positive,4,Sports & Outdoors,False
295,Muy decepcionado con la compra. El material es de mala calidad.,negative,2,Jewelry,True
296,Muy decepcionado con la compra. La atención al cliente fue pésima.,negative,2,Sports & Outdoors,False
297,Producto de gran calidad. Resistente y duradero.,positive,5,Sports & Outdoors,False
298,Muy buena compra. Lo compré para un regalo y fue un éxito.,positive,5,Toys & Games,True
299,Gran relación calidad-precio. El mejor de su categoría.,positive,5,Travel,True
300,Nada especial pero funciona. Nada excepcional.,neutral,3,Travel,False
301,Lo recomiendo ampliamente. Mi familia quedó encantada.,positive,4,Sports & Outdoors,False
302,Producto regular. Nada excepcional.,neutral,3,Fashion,False
303,Promedio. Es lo que esperaba por ese precio.,neutral,3,Home & Kitchen,True
304,Una estafa total. El envío tardó demasiado.,negative,2,Books,True
305,Excedió todas mis expectativas. El mejor de su categoría.,positive,4,Office Products,True
306,"Sin quejas, todo perfecto. Resistente y duradero.",positive,5,Books,False
307,Pésima calidad. La atención al cliente fue pésima.,negative,2,Fashion,True
308,Muy satisfecho con la compra. Mi familia quedó encantada.,positive,5,Travel,False
309,Decepción total. El envío tardó demasiado.,negative,2,Fashion,True
310,Muy decepcionado con la compra. Se rompió después de una semana.,negative,1,Fashion,True
311,Una estafa total. Es una pérdida de dinero.,negative,1,Jewelry,False
312,Muy buena compra. Lo uso a diario y funciona perfecto.,positive,4,Home & Kitchen,False
313,Producto tal como se describe. Lo compré para un regalo y fue un éxito.,positive,5,Office Products,True
314,El mejor que he probado. Lo uso a diario y funciona perfecto.,positive,5,Pet Supplies,False
315,No funciona como se anuncia. Es una pérdida de dinero.,negative,2,Travel,True
316,Llegó dañado y no me reembolsaron. Es una pérdida de dinero.,negative,1,Electronics,True
317,No funciona como se anuncia. No coincide con la descripción.,negative,2,Sports & Outdoors,True
318,De los mejores productos que he comprado. Lo uso a diario y funciona perfecto.,positive,5,Toys & Games,True
319,No funciona como se anuncia. El envío tardó demasiado.,negative,2,Jewelry,True
320,Horrible experiencia de compra. No lo recomendaría a nadie.,negative,1,Fashion,True
321,No funciona para nada. No lo recomendaría a nadie.,negative,2,Electronics,True
322,El mejor que he probado. Muy práctico y fácil de usar.,positive,5,Jewelry,False
323,El peor producto que he comprado. Es una pérdida de dinero.,negative,1,Toys & Games,False
324,Perfecto para lo que necesitaba. Resistente y duradero.,positive,5,Home & Kitchen,True
325,Excedió todas mis expectativas. Resistente y duradero.,positive,5,Books,False
326,No funciona para nada. No funciona como se prometía.,negative,2,Sports & Outdoors,False
327,Producto tal como se describe. El mejor de su categoría.,positive,5,Home & Kitchen,False
328,Perfecto para lo que necesitaba. Resistente y duradero.,positive,4,Books,True
329,Me encanta este producto. Lo volvería a comprar sin dudarlo.,positive,5,Office Products,True
330,Nada especial pero funciona. Para uso ocasional está bien.,neutral,3,Jewelry,False
331,Excedió todas mis expectativas. El mejor de su categoría.,positive,4,Pet Supplies,False
332,Para el precio está bien. No destaca en nada.,neutral,3,Home & Kitchen,False
333,Pésima calidad. No lo recomendaría a nadie.,negative,1,Sports & Outdoors,True
334,Muy buena compra. Resistente y duradero.,positive,5,Toys & Games,True
335,No funciona como se anuncia. El envío tardó demasiado.,negative,2,Sports & Outdoors,False
336,"Excelente producto, superó mis expectativas. Lo volvería a comprar sin dudarlo.",positive,5,Grocery,True
337,Muy satisfecho con la compra. Lo compré para un regalo y fue un éxito.,positive,5,Grocery,False
338,No funciona para nada. No lo recomendaría a nadie.,negative,2,Travel,True
339,Me encanta este producto. Mi familia quedó encantada.,positive,4,Sports & Outdoors,False
340,Horrible experiencia de compra. Es una pérdida de dinero.,negative,1,Office Products,True
341,"Sin quejas, todo perfecto. Mi familia quedó encantada.",positive,4,Pet Supplies,False
342,Gran relación calidad-precio. Lo volvería a comprar sin dudarlo.,positive,4,Sports & Outdoors,True
343,Muy buena compra. Mi familia quedó encantada.,positive,5,Grocery,False
344,El peor producto que he comprado. El producto llegó roto.,negative,2,Sports & Outdoors,False
345,Horrible experiencia de compra. El envío tardó demasiado.,negative,2,Travel,True
346,Producto diferente al publicado. No lo recomendaría a nadie.,negative,2,Jewelry,True
347,No funciona como se anuncia. Es una pérdida de dinero.,negative,2,Travel,False
